Numero_Dossier,Date_Lecture,Date_Audience,Avocat_Requerant,Type_Decision,Type_Recours,Formation_Jugement
452989,18/11/2021,,,Ordonnance,Plein contentieux, 5ème chambre
453083,03/11/2021,,"SCP MATUCHANSKY, POUPOT, VALDELIEVRE",Ordonnance,Plein contentieux, 4ème chambre
453126,17/11/2021,,,Ordonnance,Excès de pouvoir, 7ème chambre
453448,15/11/2021,,,Ordonnance,Excès de pouvoir, 4ème chambre
453459,16/11/2021,,,Ordonnance,Rectif. d'erreur matérielle, 6ème chambre
453548,24/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
453588,03/11/2021,,,Ordonnance,Plein contentieux, 4ème chambre
453765,04/11/2021,,,Ordonnance,Plein contentieux, 1ère chambre
453853,22/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
453885,02/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
453993,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
454044,15/11/2021,,,Ordonnance,Autres, 4ème chambre
